typology,rebuild_strategy,total_new_material_tons,total_recycled_material_tons,total_cost_pre,total_cost_infl,recycled_share
APT,full_rebuild,0.0,609344.7628384883,0.0,0.0,1.0
APT,partial_rebuild,0.0,3488305135.367148,0.0,0.0,1.0
APT,repair,0.0,2416247219.2120404,0.0,0.0,1.0
COM,full_rebuild,42887376.1040313,2919623.7980413963,5982567389.9423685,11962081947.142546,0.06373750309522645
COM,partial_rebuild,80056.25348576592,89142621.3521786,11152185.068030557,22297048.84605729,0.9991027364832112
COM,repair,5222174.255146312,184112416.56356418,696698278.0015067,1402555688.2524755,0.972418276910918
EDU,full_rebuild,307410.5517958935,0.0,38411453.860763475,78461637.85837315,0.0
EDU,partial_rebuild,4646.490010129928,4501982.253010258,580586.5660626563,1185942.4289684813,0.9989689654340117
EDU,repair,39657.60571409161,1362134.8528817242,4391786.454274758,9206908.71680371,0.9717093600618905
IND,full_rebuild,1476624.5318305795,1392368.9516348056,229819936.81213483,453559991.19708085,0.48531617783704345
IND,partial_rebuild,0.0,8022438.056380376,0.0,0.0,1.0
IND,repair,150073.9692290236,14208174.707909692,22244642.782732632,43985102.50072898,0.9895478917656599
SFH,full_rebuild,2033223.2132885805,903363.8893503493,218657018.71657225,451319033.6118755,0.3076237338707072
SFH,partial_rebuild,0.0,1023984437.6761091,0.0,0.0,1.0
SFH,repair,947.1061265884284,1138735665.196577,101853.74664942565,210231.2323536843,0.9999991682834148
